event_count,n_sessions,n_songs,tenure_days,recency_days,page__Thumbs_Up,page__Thumbs_Down,page__Add_to_Playlist,page__Add_Friend,page__Roll_Advert,page__Help,page__Settings,page__Error,page__Downgrade,page__Upgrade,page__Logout,page__Home,page__NextSong,last_level,events_per_session,songs_per_session,churn
209,3,154,54.318078703703705,7.993900462962963,8,1,4,8,10,1,1,0,0,4,5,12,154,paid,69.66666666666667,51.333333333333336,0
955,21,734,51.20898148148148,2.0508564814814814,49,7,20,21,19,9,9,1,10,5,12,49,734,paid,45.476190476190474,34.95238095238095,0
329,4,264,30.64082175925926,11.431099537037037,14,4,5,9,6,1,0,1,3,3,5,12,264,paid,82.25,66.0,0
1131,9,941,21.720104166666665,2.4466319444444444,52,4,32,16,0,7,3,3,15,1,12,43,941,paid,125.66666666666667,104.55555555555556,0
600,7,476,29.106712962962963,31.23351851851852,18,9,12,2,38,2,0,0,4,1,6,27,476,free,85.71428571428571,68.0,1
4428,63,3632,59.11390046296296,3.3841319444444444,303,28,113,63,11,27,23,5,25,0,41,151,3632,paid,70.28571428571429,57.65079365079365,0
394,6,312,42.12449074074074,16.872685185185187,35,4,9,8,2,2,0,1,0,1,3,15,312,paid,65.66666666666667,52.0,0
614,11,505,54.379895833333336,5.743043981481481,27,5,11,12,10,1,3,0,2,2,9,24,505,paid,55.81818181818182,45.90909090909091,0
671,10,518,25.888113425925926,36.902453703703706,23,8,12,7,42,6,4,0,5,4,13,23,518,free,67.1,51.8,1
1776,16,1484,58.22666666666667,4.580694444444444,67,13,43,22,13,5,15,0,18,4,19,65,1484,paid,111.0,92.75,0
1976,19,1622,57.66525462962963,4.3036111111111115,78,11,50,26,49,10,9,2,10,6,22,75,1622,free,104.0,85.36842105263158,0
1498,36,1169,47.09540509259259,15.354560185185186,56,36,32,10,69,7,7,0,6,6,26,67,1169,free,41.611111111111114,32.47222222222222,1
848,16,647,53.241585648148146,5.6686805555555555,40,9,20,6,39,3,6,1,5,9,14,37,647,paid,53.0,40.4375,0
819,9,675,57.062789351851855,2.952141203703704,42,4,19,10,12,8,2,0,7,3,9,26,675,paid,91.0,75.0,0
321,5,251,36.242152777777775,3.572962962962963,13,2,6,3,17,0,1,0,2,4,4,14,251,paid,64.2,50.2,0
